id;parentid;level;namemhobt;visible;createat;lastupdateat;createuser;lastupdateuser;regiontypeid;regionmapid;names;shortnames
0056b022-545e-57d4-ad1b-e2e1161d1972;64166312-1062-41f5-828c-bc827c64593a;3;1730226;TRUE;2025-06-03 04:50:05;2025-07-10 12:57:04;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;e9437bad-7839-5fd5-94d4-33c2da7ee14a;e91e97fd-97d3-5491-87c4-85ac3a5f6aee;"{""en-US"":""Sokh Enclave"",""ru-RU"":""Анклав Сох"",""uz-Latn-UZ"":""So‘x anklavi  ""}";"{""en-US"":""SOK"",""ru-RU"":""АРН"",""uz-Latn-UZ"":""CHG""}"
e1536cfb-90ed-594a-919d-bcd1d667cb02;64166312-1062-41f5-828c-bc827c64593a;3;1703202;TRUE;2025-06-03 04:50:05;2025-07-10 13:13:14;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;e9437bad-7839-5fd5-94d4-33c2da7ee14a;9ab2b47b-c8a5-539d-bc3f-5cbf49492b65;"{""en-US"":""Chon-Gara (Kalacha) Enclave "",""ru-RU"":""Анклав Чон-Гара (Калача)"",""uz-Latn-UZ"":""Chongara (Kalacha) anklavi ""}";"{""en-US"":""CHG"",""ru-RU"":""АСА"",""uz-Latn-UZ"":""SHM""}"
7ce79a37-0ee8-5b49-b56f-e22167d9d8d6;64166312-1062-41f5-828c-bc827c64593a;3;1703202;TRUE;2025-06-03 04:50:05;2025-07-10 13:14:23;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;e9437bad-7839-5fd5-94d4-33c2da7ee14a;ecbe4925-7264-5180-97c1-711d231adfe8;"{""en-US"":""Shakhimardan Enclave "",""ru-RU"":""Анклав Шахимардан"",""uz-Latn-UZ"":""Shohimardon anklavi""}";"{""en-US"":""SHM"",""ru-RU"":""АХГ"",""uz-Latn-UZ"":""ARN""}"
db476e79-c0c7-5667-935e-0525bb282d3f;64166312-1062-41f5-828c-bc827c64593a;3;1718203;TRUE;2025-06-03 04:50:05;2025-07-10 13:17:24;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;e9437bad-7839-5fd5-94d4-33c2da7ee14a;a6b662d7-dc42-5272-a6de-652218b8b0a6;"{""en-US"":""Jangail Enclave "",""ru-RU"":""Анклав Джангайл"",""uz-Latn-UZ"":""Jangail anklavi""}";"{""en-US"":""JNG"",""ru-RU"":""АНХ"",""uz-Latn-UZ"":""SOX""}"
2e2f94b7-81bb-5cc6-b94d-81e45642c1d8;51e249d6-6740-426e-add7-72d8db9cd3c9;3;1712238554;TRUE;2025-06-03 04:50:05;2025-07-10 13:17:53;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;df998130-48eb-5c02-889c-c78048c374e6;b5bd3f5b-2f93-5191-aa0b-18673603abb6;"{""en-US"":""Gazgan city independent city"",""ru-RU"":""Город Газган"",""uz-Latn-UZ"":""Gazgan shahri""}";"{""en-US"":""DNA"",""ru-RU"":""ДЖЛ"",""uz-Latn-UZ"":""DNV""}"
aa757087-d2d9-4455-9514-85e6948cefee;c4645385-7ff6-4910-8b91-588501be07be;3;1722214;TRUE;2025-05-23 06:06:23;2025-05-23 06:06:23;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;6874c35b-4ddc-5a91-9b9e-30366615b069;321ea698-e706-4b23-ae4f-801f5aee01e7;"{""en-US"":""Kumkurgan district"",""ru-RU"":""Кумкурганский район"",""uz-Latn-UZ"":""Qumqo‘rg‘on tumani""}";"{""en-US"":""SRG"",""ru-RU"":""СОХ"",""uz-Latn-UZ"":""PYR""}"
35c53524-c813-44fb-833c-9f506c9a3686;35c53524-c813-44fb-833c-9f506c9a3686;2;1733;TRUE;2025-05-23 06:06:23;2025-05-23 06:06:23;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;3b566aeb-90c7-5f74-9c2d-c6f66ea39836;9a97bd05-9e62-4591-8920-45d790029b2d;"{""en-US"":""Khorezm province"",""ru-RU"":""Хорезмская область"",""uz-Latn-UZ"":""Xorazm viloyati""}";"{""en-US"":""KHO"",""ru-RU"":""ХРЗ"",""uz-Latn-UZ"":""XOR""}"
4e20206e-8a7a-4939-a151-87e31fa8d761;4e20206e-8a7a-4939-a151-87e31fa8d761;2;1710;TRUE;2025-05-23 06:06:23;2025-05-23 06:06:23;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;3b566aeb-90c7-5f74-9c2d-c6f66ea39836;ec6d158e-58c5-48a4-8cdd-b239bcd3b6e1;"{""en-US"":""Kashkadarya province"",""ru-RU"":""Кашкадарьинская область"",""uz-Latn-UZ"":""Qashqadaryo viloyati""}";"{""en-US"":""PYK"",""ru-RU"":""ПСК"",""uz-Latn-UZ"":""NKS""}"
51e249d6-6740-426e-add7-72d8db9cd3c9;51e249d6-6740-426e-add7-72d8db9cd3c9;2;1712;TRUE;2025-05-23 06:06:23;2025-05-23 06:06:23;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;3b566aeb-90c7-5f74-9c2d-c6f66ea39836;13968080-ee68-4106-8fac-5636858864a1;"{""en-US"":""Navoi province"",""ru-RU"":""Навоийская область"",""uz-Latn-UZ"":""Navoiy viloyati""}";"{""en-US"":""UTC"",""ru-RU"":""УКП"",""uz-Latn-UZ"":""TKP""}"
64166312-1062-41f5-828c-bc827c64593a;64166312-1062-41f5-828c-bc827c64593a;2;1730;TRUE;2025-05-23 06:06:23;2025-05-23 06:06:23;00000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000;3b566aeb-90c7-5f74-9c2d-c6f66ea39836;cae68a5c-927d-4544-b5fd-0b005e89b6f2;"{""en-US"":""Fergana province"",""ru-RU"":""Ферганская область"",""uz-Latn-UZ"":""Farg‘ona viloyati""}";"{""en-US"":""FER"",""ru-RU"":""ФРН"",""uz-Latn-UZ"":""FAR""}"
